,number,value,params_alpha,params_booster,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_mol_dst,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,state
0,0,0.8097418106377839,7.286821979964728e-06,dart,0.0029356446287146696,0.005030558640374879,lossguide,0.10173281877564906,5.0,Morgan,forest,8.300186889879715e-06,uniform,0.0008378560837656436,COMPLETE
1,1,0.8115841090355446,0.026132510685001994,dart,0.004306136267611569,0.004331621149409642,lossguide,3.08593938432114e-05,2.0,MACCS,forest,2.392446475585359e-08,weighted,0.0025063836490049306,COMPLETE
2,2,0.8968279067428011,0.0008700288829548732,gblinear,,,,1.132693728513012e-08,,ECFP2,,,,,COMPLETE
3,3,0.9003341513917519,2.6976740926344954e-08,gbtree,0.7178569876429466,9.807122586338795e-08,lossguide,1.1442992577958549e-05,5.0,MACCS,,,,,COMPLETE
4,4,0.821840134837957,0.0007892089042326942,gbtree,0.0010136624520181068,0.004446113249362318,lossguide,3.1271259781156594e-05,9.0,Daylight,,,,,COMPLETE
5,5,0.6438324576215255,0.03577803927837878,gbtree,0.0022665950949682834,0.013706703774863051,lossguide,0.00019725387492289337,1.0,ECFP2,,,,,COMPLETE
6,6,0.7771140313545445,0.23079190331209362,gbtree,1.0493637085410846e-06,6.082335092709883e-06,lossguide,4.597197810387816e-05,8.0,ECFP4,,,,,COMPLETE
7,7,0.8124000569856659,2.7545531919001366e-08,dart,0.0005294859441304071,0.06779357508985617,depthwise,3.86136049493796e-08,3.0,MACCS,forest,0.0003518286786616522,weighted,1.1879238342251469e-08,COMPLETE
8,8,0.8535492519484276,0.0021993545657578418,gblinear,,,,0.6251167049775336,,ECFP4,,,,,COMPLETE
9,9,0.8889733898232202,0.41453697941091067,gbtree,0.8882575404234121,0.035450966645036296,depthwise,0.0038580780066330826,9.0,RDKit2D,,,,,COMPLETE
10,10,0.9048339913537495,1.7274060826460974e-07,gbtree,0.6111085063606099,0.0005588440566700011,depthwise,0.0007802049822981424,9.0,MACCS,,,,,COMPLETE
11,11,0.8494945045553518,4.411502460323087e-07,gbtree,5.309730808847492e-07,0.00757812053087827,lossguide,0.0001376199018204502,8.0,MACCS,,,,,COMPLETE
12,12,0.8016116437813775,7.853149198757531e-08,gbtree,1.4043399935547967e-08,2.0562604409382773e-05,depthwise,0.07132317845736827,6.0,RDKit2D,,,,,COMPLETE
13,13,0.8508287119208429,2.679269139386872e-08,gblinear,,,,0.24578637077644996,,MACCS,,,,,COMPLETE
14,14,0.8918020554688537,8.123388744755098e-08,dart,0.9914136196651518,1.991470068829862e-08,depthwise,5.25797899733516e-05,5.0,ECFP4,tree,0.0530031402696914,uniform,0.004974803091598709,COMPLETE
15,15,0.8959955568886967,1.6843476811942616e-08,gbtree,0.13243454009922162,5.195951793902666e-07,depthwise,3.213374084423653e-06,6.0,Morgan,,,,,COMPLETE
16,16,0.9094667405191966,1.2264381670801251e-05,gbtree,0.4943071976987781,1.1425113207976145e-08,depthwise,1.0129789249494203e-07,7.0,RDKit2D,,,,,COMPLETE
17,17,0.9167156473911267,1.5884210343590076e-05,gbtree,0.03285081296526688,2.7291420395985356e-08,depthwise,3.073225160093622e-07,7.0,RDKit2D,,,,,COMPLETE
18,18,0.804222986408282,0.00014602191761776788,gbtree,4.343019080366584e-05,1.1959797662111651e-08,depthwise,3.256747335291254e-07,7.0,RDKit2D,,,,,COMPLETE
19,19,0.8758256368618925,7.948918335225338e-07,gblinear,,,,1.8487317276482318e-08,,RDKit2D,,,,,COMPLETE
20,20,0.9070432819603511,6.8020476291421916e-06,gbtree,0.02797998968028813,1.0152821850818486e-08,depthwise,1.0182121580449119e-07,7.0,ECFP2,,,,,COMPLETE
21,21,0.8981004471321883,2.6898225085871713e-08,gbtree,0.019066517860821443,8.176428569954756e-07,depthwise,1.1647700688644695e-08,7.0,ECFP2,,,,,COMPLETE
22,22,0.8787863052792639,4.679665758175705e-06,gbtree,0.010676456098961028,7.495537634343283e-07,depthwise,7.683693963480988e-08,4.0,MACCS,,,,,COMPLETE
23,23,0.7642592460316422,0.00026545238143748685,gbtree,4.0098964003567776e-05,1.1790151364300771e-08,depthwise,5.6649822118392274e-08,7.0,ECFP2,,,,,COMPLETE
